ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,REGION,LLAVE_PANEL,ESTRATO,C201,C203,C204,C205,C206,C207,C208,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C300n,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,D351_T,INGTOT,INGTOTP,ingtrabw,RESIDENT,fa_efm25
2025,01,47880,1,0019,1,1,202401478801001911,1,1,1,1,2, ,2,32,1,9,7,1992,1, , , , , , , , , , , , , , ,1, ,3221,8610,3,2, , ,5,9998,0,12,0,12,0,12,0,36, ,36,1, ,1,1,1,2,4,1800,30, , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,9,3, ,2,2,2,2,2,2,1,1,1,1800,130, , , , , , ,50,1930,1930,1980,1,693.665669836285
2025,01,47880,1,0019,1,1,202401478801001912,1,2,2,1,2, ,1,28,2,10,1,1997,1, , , , , , , , , , , , , , ,2, ,4110,6201,3,5,1, ,3,70,0,9,10,10,9,10,0,48, ,48,1, ,1,1,1,2,4,2800, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,2, ,10,4, ,2,2,2,2,2,2,10,7,1,2800, , , , , , , ,699,2800,2800,3499,1,736.057443282131
2025,01,19146,1,0102,1,1,202401191461010211,1,1,1,1,2, ,2,57,1,1,12,1967,1, , , , , , , , , , , , , , ,1, ,9111,9700,6, , , ,1,1,0,8,8,8,8,8,0,40, ,40,1, ,2, ,2,2,4,2000,60, , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,4,5, ,2,2,2,2,2,2,1,1,1,2000,260, , , , , , ,300,2260,2260,2560,1,756.600257174781
2025,01,19146,1,0102,1,1,202401191461010212,1,2,3,1,2, ,2,36,2,10,8,1988,1, , , , , , , , , , , , , , ,2, ,3221,8610,3,5,1, ,5,600,0,12,0,12,4,8,0,36, ,36,1, ,2, ,2,2,4,1500, , , , , , , , , , , , , , ,1,3,1,1,2, ,1,1,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,9,3, ,2,2,2,2,2,2,10,7,1,1500, , , , , , , ,324,1500,1500,1824,1,947.975895802075
2025,01,19146,1,0102,1,1,202401191461010213,1,3,3,1,2, ,1,24,3,10,10,2000,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,1,2,5, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,10,4, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,805.149568516117
2025,01,21937,1,0039,1,1,202401219371003911,1,1,1,1,2, ,2,33,1,20,3,1991,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2,1,6, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,1,4, , , , , , , , , , , , ,1,844.050879560693
2025,01,21937,1,0039,1,1,202401219371003912,1,2,2,1,2, ,1,34,2,3,7,1990,1, , , , , , , , , , , , , , ,2, ,9313,4100,3,5,3,2,1,2,0,0,9,9,9,9,9,45, ,50,2,50,1,1,1,1,2,300, , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,2, ,2,2,2,2,2,2,10,7,1,1299, , , , , , , , ,1299,1299,1299,1,895.63309736246
2025,01,21937,1,0039,1,1,202401219371003913,1,3,3,1,2, ,1,16,3,26,9,2008,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,2,2,3, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,4, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,716.882364302045
2025,01,21937,1,0039,1,1,202401219371003914,1,4,3,1,2, ,2,15,1,1,11,2009,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,2,2,3, , ,2,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,3, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,800.638766610703
2025,01,21986,1,0130,1,1,202401219861013011,1,1,1,1,2, ,1,30,1,8,12,1994,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,1,13,4,1,1,6,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,11,5, ,2,2,2,2,2,2,10,1,2, , , , , , , , , , , , ,1,1029.25438310829
2025,01,21986,1,0130,1,1,202401219861013012,1,2,2,1,2, ,2,31,1,23,11,1993,1, , , , , , , , , , , , , , ,2, ,5212,4771,3,5,2,1,1,5,0,10,0,0,10,10,10,40, ,60,2,60,2, ,2,2,4,1200, , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,3, ,2,2,2,2,2,2,10,7,1,1200, , , , , , , , ,1200,1200,1200,1,969.976511489588
2025,01,21986,1,0132,1,1,202401219861013211,1,1,1,1,2, ,1,47,1,25,11,1977,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,5,1,1,13,5,4,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,2, , , , , , , , , , , , ,1,858.673988063056
2025,01,21986,1,0132,1,1,202401219861013212,1,2,2,1,2, ,2,42,2,15,6,1982,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,2,6, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,969.976511489588
