ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,REGION,LLAVE_PANEL,ESTRATO,C201,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C306A,C308_COD,C309_COD,C310,C311,C312,C313,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,C318_T,C328_T,whoraT,C330,C331,C333,C334,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C347_T,C348,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C361_1,C362_1,C361_2,C362_2,C361_3,C362_3,C361_4,C362_4,C361_5,C362_5,C361_6,C362_6,C361_7,C362_7,C361_8,C362_8,C364_1,C365_1,C364_2,C365_2,C364_3,C365_3,C364_4,C365_4,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,D351_T,INGTOT,INGTOTP,ingtrabw,RESIDENT,fa_jas24
2024,07,49720,1,0096,1,1,202407497201009612,1,2,2,1,2, ,2,35,2,2,22,3,1989,1, , , , , , , , , , , , , , , ,5120,5629,2, ,3,2,1,1,0,2,2,2,0,0,0,6, ,6,1, ,1,2,2,2, , , , , , , , , , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,3, ,2,2,2,2,2,2,2,10,9,1, , ,335,130, , , , , ,465,465,465,1,2083.60731157518
2024,07,18605,1,0031,1,1,202407186051003111,1,1,1,1,2, ,2,65,1,1,24,2,1959,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2,2,6, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,5,3, ,2,2,2,2,2,2,1,1,4, , , , , , , , , , , , ,1,704.691917862782
2024,07,18605,1,0031,1,1,202407186051003112,1,2,2,1,2, ,1,74,2,2,3,8,1949,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,7,2,2,7, , ,1,1,1,3,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,3,2, ,2, ,4,5, ,2,2,2,2,2,2,1,1,4, , , , , , , , , , , , ,1,802.772624493094
2024,07,18605,1,0031,1,1,202407186051003113,1,3,3,1,2, ,2,32,3,3,22,6,1992,1, , , , , , , , , , , , , , , ,9535,4799,2, ,3,2,1,1,3,3,2,2,2,2,2,16,14,30,1, ,2, ,2,2, , , , , , , ,30, , , , , , , , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,1, , ,250, , ,30, , , ,280,250,280,1,894.592402190102
2024,07,18605,1,0032,1,1,202407186051003211,1,1,1,1,2, ,2,56,1,3,26,11,1967,1, , , , , , , , , , , , , , , ,5120,5610,3,5,1, ,1,5,8,8,8,0,8,8,8,48, ,48,1, ,2, ,2,2,4,950,15, , , , , , , , , , , , , ,1,1,1,3,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,3,2, ,2, ,2, ,9,3, ,2,2,2,2,2,2,10,7,1,950,450, , , , , , , ,1400,1400,1400,1,704.691917862782
2024,07,18605,1,0032,1,1,202407186051003212,1,2,2,1,2, ,1,75,2,2,24,6,1949,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,5,1,2,13,5,1,1,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,3,2, ,2,2,2,1,2,2,10,7,2, , , , , , , , , , , , ,1,802.772624493094
2024,07,18605,1,0032,1,1,202407186051003213,1,3,3,1,2, ,2,34,3,3,29,12,1989,1, , , , , , , , , , , , , , , ,5414,8010,3,4,1, ,4,200,12,12,12,0,12,12,12,72, ,72,1, ,2, ,2,2,4,2200, , , , , , , , , , , , , , ,1,1,1,1,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,1,2, ,2, ,10,1, ,2,2,2,2,2,2,10,7,1,2200, , , , , , , , ,2200,2200,2200,1,894.592402190102
2024,07,18605,1,0036,1,1,202407186051003611,1,1,1,1,2, ,2,33,1,1,13,6,1991,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,2,6, , ,1,5,2, ,2, ,2, ,2, ,1,5,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,894.592402190102
2024,07,18605,1,0040,1,1,202407186051004011,1,1,1,1,2, ,1,74,1,1,18,3,1950,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,6,1,2,6, , ,1,1,1,3,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,1,3,2, ,6,5, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,802.772624493094
2024,07,18605,1,0040,1,1,202407186051004012,1,2,2,1,2, ,2,70,2,2,26,5,1954,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,7,2,2,7, , ,2,1,1,4,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,2, ,6,5, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , , , ,1,704.691917862782
